Time UTC+0;Solar Carport [W];Solar Fixed installation [W]; SolarFlatroof [W];Solar Single panel [W];Solar Tracker [W];Solar Wall (south) [W];Solar Wall (west) [W];LUT Electricity Consumption [W];
2017-01-01 00:13:00;0;-1.68;0;0;-1.47;5.20;6.16;408000.00;
2017-01-01 00:28:00;0;-1.64;0;0;-1.39;5.38;6.25;420000.00;
2017-01-01 00:43:00;0;-1.64;0;0;-1.50;5.37;6.40;408000.00;
2017-01-01 00:58:00;0;-1.68;0;0;-1.52;5.61;6.47;456000.00;
2017-01-01 01:13:00;0;-1.74;0;0;-1.54;5.66;6.59;420000.00;
2017-01-01 01:28:00;0;-1.90;0;0;-1.68;5.51;6.63;420000.00;
2017-01-01 01:43:00;0;-1.66;0;0;-1.52;5.66;6.63;420000.00;
2017-01-01 01:58:00;0;-1.78;0;0;-1.64;5.67;6.63;420000.00;
2017-01-01 02:13:00;0;-1.77;0;0;-1.61;5.59;6.26;420000.00;
2017-01-01 02:28:00;0;-1.84;0;0;-1.66;5.68;6.79;432000.00;
2017-01-01 02:43:00;0;-1.83;0;0;-1.61;5.82;6.84;420000.00;
2017-01-01 02:58:00;0;-1.98;0;0;-1.70;5.81;6.54;420000.00;
2017-01-01 03:13:00;0;-1.82;0;0;-1.63;5.51;6.45;420000.00;
2017-01-01 03:28:00;0;-1.87;0;0;-1.68;5.42;6.36;408000.00;
2017-01-01 03:43:00;0;-1.89;0;0;-1.56;5.62;6.63;444000.00;
2017-01-01 03:58:00;0;-1.69;0;0;-1.52;5.50;6.52;420000.00;
2017-01-01 04:13:00;0;-1.73;0;0;-1.56;5.48;6.21;420000.00;
2017-01-01 04:28:00;0;-1.63;0;0;-1.40;5.25;6.24;408000.00;
2017-01-01 04:43:00;0;-1.79;0;0;-1.56;5.18;6.19;420000.00;
2017-01-01 04:58:00;0;-1.67;0;0;-1.39;5.26;5.96;396000.00;
2017-01-01 05:13:00;0;-1.75;0;0;-1.49;5.11;5.80;420000.00;
2017-01-01 05:28:00;0;-1.53;0;0;-1.29;5.01;5.91;420000.00;
2017-01-01 05:43:00;0;-1.84;0;0;-1.59;5.07;5.76;420000.00;
2017-01-01 05:58:00;0;-1.52;0;0;-1.32;5.35;6.01;408000.00;
2017-01-01 06:13:00;0;-1.83;0;0;-1.57;5.25;5.99;420000.00;
2017-01-01 06:28:00;0;-1.68;0;0;-1.60;5.03;5.60;384000.00;
2017-01-01 06:43:00;0;-1.74;0;0;-1.42;4.88;5.59;396000.00;
2017-01-01 06:58:00;0;-1.30;0;0;-1.17;4.96;5.40;420000.00;
2017-01-01 07:13:00;0;-0.76;0;0;-0.57;8.64;10.75;396000.00;
2017-01-01 07:28:00;0;0;0;0;0;11.16;17.22;384000.00;
2017-01-01 07:43:00;17.27;0;9.69;0.06;0;12.23;20.46;396000.00;
2017-01-01 07:58:00;90.80;0;23.98;0.58;-4.35;12.37;20.65;384000.00;
2017-01-01 08:13:00;606.39;2.71;300.76;1.80;6.23;29.17;19.74;396000.00;
2017-01-01 08:28:00;1081.32;22.64;587.97;3.07;24.92;209.16;51.74;420000.00;
2017-01-01 08:43:00;699.76;5.84;386.77;1.84;42.41;186.78;50.71;396000.00;
2017-01-01 08:58:00;843.23;12.66;470.64;2.46;42.61;188.80;66.95;408000.00;
2017-01-01 09:13:00;774.57;11.18;449.41;1.97;35.34;188.55;62.61;396000.00;
2017-01-01 09:28:00;909.58;13.17;528.26;1.58;63.80;461.56;76.35;384000.00;
2017-01-01 09:43:00;947.78;16.60;568.46;2.70;68.12;284.42;82.12;396000.00;
2017-01-01 09:58:00;932.36;14.90;584.00;2.68;56.50;236.13;64.89;420000.00;
2017-01-01 10:13:00;969.95;16.87;569.42;2.89;38.91;105.57;68.32;408000.00;
2017-01-01 10:28:00;1648.84;41.45;1018.79;4.77;104.00;359.53;139.47;396000.00;
2017-01-01 10:43:00;2105.00;50.89;1234.87;5.35;172.04;392.72;189.71;384000.00;
2017-01-01 10:58:00;1210.96;24.40;738.47;3.18;70.63;215.64;108.30;396000.00;
2017-01-01 11:13:00;1181.28;22.06;676.07;3.23;32.19;101.70;81.03;396000.00;
2017-01-01 11:28:00;1954.45;48.07;1145.72;5.72;91.88;310.23;231.70;444000.00;
2017-01-01 11:43:00;2274.67;62.04;1333.98;6.79;107.74;367.91;179.95;420000.00;
2017-01-01 11:58:00;1114.31;18.99;608.42;3.12;19.00;46.21;49.19;396000.00;
2017-01-01 12:13:00;713.08;7.33;406.21;2.17;6.63;9.75;16.72;408000.00;
2017-01-01 12:28:00;20.63;0;13.58;0.46;0;11.77;17.75;420000.00;
2017-01-01 12:43:00;19.17;0;2.59;0.10;0;12.05;17.78;408000.00;
2017-01-01 12:58:00;1.88;0;0.54;-0.06;0;11.82;17.69;456000.00;
2017-01-01 13:13:00;0;-0.62;0;0;-0.58;7.36;9.00;444000.00;
2017-01-01 13:28:00;0;-1.54;0;0;-1.01;5.60;2.64;456000.00;
2017-01-01 13:43:00;0;-1.79;0;0;-1.26;5.13;2.29;420000.00;
2017-01-01 13:58:00;0;-1.82;0;0;-1.34;5.31;1.71;432000.00;
2017-01-01 14:13:00;0;-1.77;0;0;-1.17;5.26;2.34;432000.00;
